"job_log_id","job_type","printer_serial_number","job_id","user_name","destination","send_time","file_name","finish_time","copies","original_pages","detect_privacy","privacy_text","image_archive_path","text_archive_path","original_job_id","job_image_file","ocr_text","image_thumbnail","image_archive","security_group_name"
191,P,"800130239114","6012",test1,"","240905111842",P04fd7f5f9a3c4e2a43edf165de2af3719b6bec3b,"240905111842",1,1,false,"",P04fd7f5f9a3c4e2a43edf165de2af3719b6bec3b.epdf,P04fd7f5f9a3c4e2a43edf165de2af3719b6bec3b.etxt,"",,,,,일반
194,C,"792080753124","39287",test1,"","230827211948",C792080753123082721200,"0",0,0,false,"","","","",,,,,일반
195,C,"800130239114","1595",COPY,"","230827185043",C800130239123082718500,"230827185058",1,1,false,"","","","",,,,,일반
196,F,"800130239114","1683",SCAN,"","230904131211",F013023911423090413120,"230904131216",1,1,false,"","","","",,,,,일반
197,F,"792080753124","39286",test1,"","230827211920",F792080753123082721190,"0",0,0,false,"","","","",,,,,일반
198,P,"800130239114","1676",Node_KIM,"","230904092940",P013023911423090409290,"230904092948",1,1,false,"","2024\11\P013023911423090409290.epdf","2024\11\P013023911423090409290.etxt","",,,,,일반
190,P,"800130239114","7007",test1,"","240919173050",P266ec8435489f7fc3d134d268aa764191952a577,"240919173050",2,3,false,"",P266ec8435489f7fc3d134d268aa764191952a577.epdf,P266ec8435489f7fc3d134d268aa764191952a577.etxt,"",,,,,일반
193,P,"800130239114","6006",test1,"","240816154001",P56aa940ba2cc0aa25919b610f2271e2ba8d2779a,"240816154001",1,1,false,"","2024\11\P56aa940ba2cc0aa25919b610f2271e2ba8d2779a.epdf","2024\11\P56aa940ba2cc0aa25919b610f2271e2ba8d2779a.etxt","",,,,,일반
192,P,"800130239114","6007",test1,"","240816154101",P8a066cc9d4a6416c3396c5cf6e65e0e7f8557618,"240816154101",1,1,false,"",P8a066cc9d4a6416c3396c5cf6e65e0e7f8557618.epdf,P8a066cc9d4a6416c3396c5cf6e65e0e7f8557618.etxt,"",,,,,일반
